frameno;frametime;radious;cir_pos;color
0;0.0990869998932;"[6.6708322, 5.7008772]";"[(385.5, 279.5), (641.5, 297.5)]";"[0, 0]"
1;0.0930759906769;"[6.5192022, 6.6708322]";"[(644.5, 297.5), (386.5, 279.5)]";"[0, 0]"
2;0.0923399925232;"[6.3639612, 7.1063352]";"[(645.5, 299.5), (388.5, 280.5)]";"[0, 0]"
3;0.0937128067017;"[7.1063352, 6.6708322, 6.5192022]";"[(645.5, 300.5), (388.5, 281.5), (852.5, 443.5)]";"[0, 0, 0]"
4;0.106662034988;"[5.7008772, 6.6708322]";"[(385.5, 281.5), (643.5, 299.5)]";"[0, 0]"
5;0.115021944046;"[]";"[]";"[]"
6;0.116940975189;"[6.5192022]";"[(385.5, 282.5)]";"[0]"
7;0.121728181839;"[6.5192022, 5.7008772]";"[(642.5, 302.5), (382.5, 284.5)]";"[0, 0]"
8;0.121485948563;"[6.5192022]";"[(642.5, 302.5)]";"[0]"
9;0.111252069473;"[6.6708322, 6.6708322, 5.7008772]";"[(642.5, 303.5), (384.5, 284.5), (850.5, 447.5)]";"[0, 0, 0]"
10;0.110743999481;"[6.5192022, 5.7008772]";"[(642.5, 301.5), (383.5, 283.5)]";"[0, 0]"
11;0.137923955917;"[6.5192022]";"[(641.5, 302.5)]";"[0]"
12;0.0988969802856;"[5.7008772]";"[(380.5, 283.5)]";"[0]"
13;0.086982011795;"[5.7008772, 6.6708322]";"[(379.5, 284.5), (640.5, 303.5)]";"[0, 0]"
14;0.111962080002;"[6.5192022]";"[(638.5, 301.5)]";"[0]"
15;0.0922341346741;"[7.1063352, 5.7008772]";"[(380.5, 282.5), (637.5, 303.5)]";"[0, 0]"
16;0.0907289981842;"[6.041523]";"[(638.5, 299.5)]";"[0]"
17;0.0898690223694;"[7.1063352]";"[(380.5, 280.5)]";"[0]"
18;0.112339019775;"[6.5192022, 5.7008772]";"[(638.5, 298.5), (845.5, 444.5)]";"[0, 0]"
19;0.0903160572052;"[7.1063352, 5.7008772]";"[(639.5, 298.5), (378.5, 279.5)]";"[0, 0]"
20;0.0918679237366;"[6.041523, 6.6708322, 5.7008772]";"[(639.5, 299.5), (378.5, 278.5), (846.5, 443.5)]";"[0, 0, 0]"
21;0.0910148620605;"[6.041523]";"[(640.5, 297.5)]";"[0]"
